name,room_type,star_rating,review_score,price,neighbourhood,latitude,longitude,distance_from_center,source,url
Hotel Arena,Hotel room,4.0,4.1,153.86,Oost,52.3612334,4.9162951,2.0,booking,https://www.booking.com/hotel/nl/arena.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=157&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=1021541_95128221_2_2_0&highlighted_blocks=1021541_95128221_2_2_0&matching_block_id=1021541_95128221_2_2_0&sr_pri_blocks=1021541_95128221_2_2_0__107742&from_sustainable_property_sr=1&from=searchresults
France Hotel,Hotel room,3.0,3.65,187.43,Amsterdam City Centre,52.3759568,4.9011775,0.7,booking,https://www.booking.com/hotel/nl/france.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=158&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=1017105_95128144_0_0_0&highlighted_blocks=1017105_95128144_0_0_0&matching_block_id=1017105_95128144_0_0_0&sr_pri_blocks=1017105_95128144_0_0_0__131197&from=searchresults
Hampton by Hilton Amsterdam Centre East,Hotel room,4.0,4.2,118.0,Zeeburg,52.3712913,4.9346923,2.8,booking,https://www.booking.com/hotel/nl/hampton-by-hilton-amsterdam-centre-east.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=160&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=172737101_94617956_2_1_0_935883&highlighted_blocks=172737101_94617956_2_1_0_935883&matching_block_id=172737101_94617956_2_1_0_935883&sr_pri_blocks=172737101_94617956_2_1_0_935883_82610&from_sustainable_property_sr=1&from=searchresults
citizenM Amstel Amsterdam,Hotel room,4.0,4.45,182.0,Amsterdam City Centre,52.3610179,4.9063758,1.6,booking,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=161&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=400035701_123425471_2_2_0_636836&highlighted_blocks=400035701_123425471_2_2_0_636836&matching_block_id=400035701_123425471_2_2_0_636836&sr_pri_blocks=400035701_123425471_2_2_0_636836_127436&from=searchresults
Hotel & Wellness Zuiver,Hotel room,3.0,3.95,144.86,Zuideramstel,52.3311643,4.8529703,5.4,booking,https://www.booking.com/hotel/nl/zuiver-amstelpark.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=162&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=17101101_91909786_2_1_0&highlighted_blocks=17101101_91909786_2_1_0&matching_block_id=17101101_91909786_2_1_0&sr_pri_blocks=17101101_91909786_2_1_0__101377&from=searchresults
De Ware Jacob Boutique Hotel,Hotel room,4.0,4.55,136.29,Oud Zuid,52.3541136,4.876948,2.4,booking,https://www.booking.com/hotel/nl/de-ware-jacob-boutique.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=163&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__95391&from=searchresults
Hotel Amstelzicht,Hotel room,3.0,3.9,188.14,Amsterdam City Centre,52.3669696,4.8969299,0.7,booking,https://www.booking.com/hotel/nl/amstelzicht.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=165&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=1034903_95128488_0_0_0&highlighted_blocks=1034903_95128488_0_0_0&matching_block_id=1034903_95128488_0_0_0&sr_pri_blocks=1034903_95128488_0_0_0__131715&from=searchresults
Adam Suites Hotel,Hotel room,4.0,4.3,193.29,Amsterdam City Centre,52.3804189,4.8870585,0.9,booking,https://www.booking.com/hotel/nl/cappuccino.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=166&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=175632505_91310327_0_0_0&highlighted_blocks=175632505_91310327_0_0_0&matching_block_id=175632505_91310327_0_0_0&sr_pri_blocks=175632505_91310327_0_0_0__135342&from=searchresults
Eric Vökel Boutique Apartments - Amsterdam Suites,Entire home/apt,4.0,4.4,296.71,Amsterdam City Centre,52.3776163,4.906975,1.1,booking,https://www.booking.com/hotel/nl/eric-vokel-amsterdam-suites.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=167&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=186120301_92019273_2_0_0&highlighted_blocks=186120301_92019273_2_0_0&matching_block_id=186120301_92019273_2_0_0&sr_pri_blocks=186120301_92019273_2_0_0__207665&from=searchresults
Boutique Apartments Amsterdam,Hotel room,4.0,4.55,130.86,Westpoort,52.3874242,4.8348432,4.2,booking,https://www.booking.com/hotel/nl/citadines-apartment-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=168&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=467203201_144115366_2_2_0&highlighted_blocks=467203201_144115366_2_2_0&matching_block_id=467203201_144115366_2_2_0&sr_pri_blocks=467203201_144115366_2_2_0__91587&from=searchresults
"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel",Hotel room,4.0,4.25,149.57,Oud Zuid,52.3488716,4.8851436,2.8,booking,https://www.booking.com/hotel/nl/apollo.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=171&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=1013035_95128053_0_2_0&highlighted_blocks=1013035_95128053_0_2_0&matching_block_id=1013035_95128053_0_2_0&sr_pri_blocks=1013035_95128053_0_2_0__104691&from_sustainable_property_sr=1&from=searchresults
Hotel Plantage - Digital Access,Hotel room,2.0,3.55,117.14,Amsterdam City Centre,52.3666615,4.9117479,1.5,booking,https://www.booking.com/hotel/nl/plantage.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=172&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=1087901_95129608_2_0_0&highlighted_blocks=1087901_95129608_2_0_0&matching_block_id=1087901_95129608_2_0_0&sr_pri_blocks=1087901_95129608_2_0_0__81979&from=searchresults
Basecamp Amsterdam,Entire home/apt,4.0,4.35,148.71,Geuzenveld-Slotermeer,,,7.8,booking,https://www.booking.com/hotel/nl/the-unbound.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=173&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=556322801_388809290_2_0_0&highlighted_blocks=556322801_388809290_2_0_0&matching_block_id=556322801_388809290_2_0_0&sr_pri_blocks=556322801_388809290_2_0_0__104073&from=searchresults
The Lancaster Hotel Amsterdam,Hotel room,4.0,3.85,152.57,Amsterdam City Centre,52.3658572,4.9128724,1.6,booking,https://www.booking.com/hotel/nl/the-lancaster-hotel-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=175&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682178&all_sr_blocks=1044436_95128818_2_2_0_589705&highlighted_blocks=1044436_95128818_2_2_0_589705&matching_block_id=1044436_95128818_2_2_0_589705&sr_pri_blocks=1044436_95128818_2_2_0_589705_106848&from_sustainable_property_sr=1&from=searchresults
Amadi Park Hotel,Hotel room,4.0,3.75,118.14,Oud-West,52.3649396,4.8733328,1.6,booking,https://www.booking.com/hotel/nl/amadi-park.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=176&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=40745902_91926997_0_2_0&highlighted_blocks=40745902_91926997_0_2_0&matching_block_id=40745902_91926997_0_2_0&sr_pri_blocks=40745902_91926997_0_2_0__82723&from=searchresults
The Crown Hotel,Hotel room,1.0,3.95,136.71,Amsterdam City Centre,52.3748641,4.8998972,0.5,booking,https://www.booking.com/hotel/nl/crown.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=178&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=833860003_348667932_0_0_0&highlighted_blocks=833860003_348667932_0_0_0&matching_block_id=833860003_348667932_0_0_0&sr_pri_blocks=833860003_348667932_0_0_0__95708&from=searchresults
House of Adam,Hotel room,4.0,4.4,156.71,Amsterdam City Centre,52.3677147,4.9099013,1.3,booking,https://www.booking.com/hotel/nl/parklane.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=179&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1083407_95129512_2_0_0&highlighted_blocks=1083407_95129512_2_0_0&matching_block_id=1083407_95129512_2_0_0&sr_pri_blocks=1083407_95129512_2_0_0__109696&from=searchresults
Adam's Canal House,Hotel room,4.0,4.15,209.86,Amsterdam City Centre,52.3759303,4.9017413,0.7,booking,https://www.booking.com/hotel/nl/mauro-mansion.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=180&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=24119719_328494719_0_0_0&highlighted_blocks=24119719_328494719_0_0_0&matching_block_id=24119719_328494719_0_0_0&sr_pri_blocks=24119719_328494719_0_0_0__146878&from=searchresults
Luna's Hideaway,Entire home/apt,3.0,4.2,341.29,Amsterdam City Centre,52.3612615,4.8931616,1.3,booking,https://www.booking.com/hotel/nl/luna-s-hideaway.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=181&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=70565501_361439128_0_0_0&highlighted_blocks=70565501_361439128_0_0_0&matching_block_id=70565501_361439128_0_0_0&sr_pri_blocks=70565501_361439128_0_0_0__238876&from=searchresults
MEININGER Hotel Amsterdam Amstel,Hotel room,,4.05,87.43,Oost,52.3458407,4.9194231,3.5,booking,https://www.booking.com/hotel/nl/meininger-amsterdam-amstel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=182&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=302643402_111036369_0_2_0_496206&highlighted_blocks=302643402_111036369_0_2_0_496206&matching_block_id=302643402_111036369_0_2_0_496206&sr_pri_blocks=302643402_111036369_0_2_0_496206_61196&from=searchresults
Hotel Luxer,Hotel room,3.0,4.25,140.71,Amsterdam City Centre,52.3760208,4.899253,0.5,booking,https://www.booking.com/hotel/nl/luxer.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=184&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1076107_95129413_0_0_0&highlighted_blocks=1076107_95129413_0_0_0&matching_block_id=1076107_95129413_0_0_0&sr_pri_blocks=1076107_95129413_0_0_0__98501&from=searchresults
Apollofirst Boutique Hotel,Hotel room,4.0,4.45,130.71,Oud Zuid,52.3506124,4.873484,2.8,booking,https://www.booking.com/hotel/nl/first.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=185&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1034402_115617538_0_2_0&highlighted_blocks=1034402_115617538_0_2_0&matching_block_id=1034402_115617538_0_2_0&sr_pri_blocks=1034402_115617538_0_2_0__91511&from=searchresults
Residence Inn by Marriott Amsterdam Houthavens,Entire home/apt,4.0,4.3,147.43,Westpoort,52.4013386,4.8746651,3.4,booking,https://www.booking.com/hotel/nl/residence-inn-by-marriott-amsterdam-houthavens.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=186&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=291224405_109119534_0_1_0&highlighted_blocks=291224405_109119534_0_1_0&matching_block_id=291224405_109119534_0_1_0&sr_pri_blocks=291224405_109119534_0_1_0__103200&from=searchresults
"Sir Albert Hotel, part of Sircle Collection",Hotel room,4.0,4.2,183.14,De Pijp,52.3545104,4.8875769,2.1,booking,https://www.booking.com/hotel/nl/sir-albert.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=187&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=38883501_118724547_2_2_0_713014&highlighted_blocks=38883501_118724547_2_2_0_713014&matching_block_id=38883501_118724547_2_2_0_713014&sr_pri_blocks=38883501_118724547_2_2_0_713014_128188&from_sustainable_property_sr=1&from=searchresults
Felicitas,Hotel room,,4.15,161.43,Amsterdam City Centre,,,1.2,booking,https://www.booking.com/hotel/nl/felicitas.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=188&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=425290701_341988713_2_1_0&highlighted_blocks=425290701_341988713_2_1_0&matching_block_id=425290701_341988713_2_1_0&sr_pri_blocks=425290701_341988713_2_1_0__113000&from=searchresults
Hotel Fita,Hotel room,3.0,4.35,168.0,Oud Zuid,,,1.8,booking,https://www.booking.com/hotel/nl/fita-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=189&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=4577220_88531465_0_2_0&highlighted_blocks=4577220_88531465_0_2_0&matching_block_id=4577220_88531465_0_2_0&sr_pri_blocks=4577220_88531465_0_2_0__117573&from=searchresults
The Manor Amsterdam,Hotel room,4.0,4.2,119.86,Oost,52.3591345,4.9263176,2.7,booking,https://www.booking.com/hotel/nl/hotel-the-manor-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=190&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=28108917_91470956_2_2_0_594341&highlighted_blocks=28108917_91470956_2_2_0_594341&matching_block_id=28108917_91470956_2_2_0_594341&sr_pri_blocks=28108917_91470956_2_2_0_594341_83868&from_sustainable_property_sr=1&from=searchresults
Motel One Amsterdam-Waterlooplein,Hotel room,3.0,4.35,168.43,Amsterdam City Centre,52.3701966,4.9083486,1.0,booking,https://www.booking.com/hotel/nl/motel-one-amsterdam-waterlooplein.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=191&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=268612001_326856623_2_2_0&highlighted_blocks=268612001_326856623_2_2_0&matching_block_id=268612001_326856623_2_2_0&sr_pri_blocks=268612001_326856623_2_2_0__117933&from_sustainable_property_sr=1&from=searchresults
Hotel Roemer Amsterdam,Hotel room,4.0,4.1,132.14,Oud-West,52.3615396,4.877634,1.6,booking,https://www.booking.com/hotel/nl/roemer.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=192&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1147213_95134200_0_2_0&highlighted_blocks=1147213_95134200_0_2_0&matching_block_id=1147213_95134200_0_2_0&sr_pri_blocks=1147213_95134200_0_2_0__92469&from_sustainable_property_sr=1&from=searchresults
